编号,关卡数据,行数,列数,场景资源,UI资源
uint,sarray,uint,uint,string,int
id,data,RowCount,ColCount,SceneObj,UIID
0,,0,0,lobby,3
1,_:_:#:#:#:_:_:_:_:_:#:.:#:_:_:_:_:_:#:-:#:#:#:#:#:#:#:$:-:$:.:#:#:.:-:$:@:#:#:#:#:#:#:#:$:#:_:_:_:_:_:#:.:#:_:_:_:_:_:#:#:#:_:_,8,8,Level1,
2,#:#:#:#:_:_:#:-:.:#:_:_:#:-:-:#:#:#:#:*:@:-:-:#:#:-:-:$:-:#:#:-:-:#:#:#:#:#:#:#:_:_,7,6,6,
3,#:#:#:#:#:#:#:-:-:-:-:#:#:-:#:@:-:#:#:-:$:*:-:#:#:-:.:*:-:#:#:-:-:-:-:#:#:#:#:#:#:#,7,6,6,
4,_:#:#:#:#:#:#:#:_:#:-:-:-:-:-:#:_:#:-:.:$:.:-:#:#:#:-:$:@:$:-:#:#:-:-:.:$:.:-:#:#:-:-:-:-:-:-:#:#:#:#:#:#:#:#:#,7,8,8,
5,#:#:#:#:#:#:_:#:#:#:#:#:#:-:-:-:-:#:#:#:-:-:-:#:#:-:$:$:-:-:-:-:-:#:@:#:#:-:$:-:#:.:.:.:-:-:-:#:#:-:-:-:#:#:#:#:#:#:#:#:#:#:#:#:#:_:_:_:_:_:_:_,6,12,12,
6,#:#:#:#:#:_:#:.:-:-:#:#:#:@:$:$:-:#:#:#:-:-:-:#:_:#:#:-:-:#:_:_:#:#:.:#:_:_:_:#:#:#,7,6,6,
7,_:_:#:#:#:#:#:#:_:_:_:#:-:-:-:-:#:_:_:_:#:-:#:#:@:#:#:#:#:#:-:#:-:$:-:#:#:-:.:.:#:-:$:-:#:#:-:-:-:-:-:-:-:#:#:-:-:#:#:#:#:#:#:#:#:#:#:_:_:_:_:_,8,9,9,
